match_id,account_id,hero_id,player_slot,gold,gold_spent,gold_per_min,xp_per_min,kills,deaths,assists,denies,last_hits,stuns,hero_damage,hero_healing,tower_damage,item_0,item_1,item_2,item_3,item_4,item_5,level
96,552,18,131,266,7850,294,334,2,14,9,2,113,39.9683,6563,0,151,164,1,73,63,16,21,14
96,0,50,132,30,5365,177,228,1,10,4,6,22,0,2265,4532,157,218,46,0,254,180,0,11
97,0,107,0,893,15675,382,472,4,7,12,6,115,76.6842,9115,0,483,215,180,1,108,210,41,20
97,553,39,1,486,17880,420,458,11,8,15,4,106,0,13956,0,2640,98,123,0,63,46,108,20
97,554,90,2,3308,13835,407,373,4,8,9,0,177,24.7375,9090,0,2900,48,168,152,108,0,0,18
97,555,22,3,1176,17495,437,496,18,10,15,0,74,3.00208,29467,0,1122,180,110,108,129,190,0,21
97,556,70,4,3560,13050,424,510,6,7,11,0,127,0,9590,448,787,41,63,214,180,61,81,21
97,0,86,128,226,10090,251,366,4,11,8,1,38,60.8544,5149,0,24,38,36,180,108,23,28,18
97,0,21,129,3148,14815,411,611,13,12,6,0,97,42.2968,20520,0,763,50,0,135,77,108,149,23
97,0,1,130,294,15325,371,462,10,4,5,5,215,8.19385,10125,0,51,145,182,63,143,10,147,20
97,557,8,131,722,10735,293,403,1,8,13,3,132,0,10642,0,74,50,172,149,108,0,0,19
97,0,15,132,1092,12735,363,441,10,14,4,0,147,0,12293,0,0,212,63,154,139,0,0,19
98,558,7,0,855,3430,174,141,0,6,3,7,35,51.9545,5166,0,0,29,1,0,44,39,16,8
98,559,80,1,778,8865,299,328,1,4,3,0,122,0,3359,0,683,63,170,168,0,0,0,13
98,560,9,2,1062,3445,164,182,1,3,3,3,20,59.2358,5933,0,0,63,0,212,0,36,0,9
98,561,73,3,191,9985,397,326,1,6,0,9,112,11.697,7347,0,219,11,41,137,22,0,48,13
98,562,1,4,1196,6860,308,359,3,4,2,5,93,0.33320299999999997,3962,0,0,145,182,0,63,0,0,13
98,563,43,128,1523,12765,492,372,2,0,6,4,118,0,7244,0,4115,96,41,121,50,0,0,13
98,0,82,129,4032,13195,590,730,7,2,7,2,136,0,10766,417,5810,1,48,0,81,0,108,19
98,564,84,130,2875,7005,332,264,2,0,9,15,18,14.5988,2928,0,63,40,0,108,180,0,0,11
98,0,75,131,1214,9415,384,324,5,5,4,2,32,0,7380,1190,1633,79,98,63,77,77,0,13
98,565,35,132,3492,10670,483,257,7,0,7,11,92,0.10006799999999999,9114,0,2495,63,212,0,166,46,147,11
99,0,112,0,393,9445,389,415,1,1,11,1,23,28.2598,5008,0,603,180,100,1,15,65,0,13
99,566,32,1,1671,12870,602,543,15,3,5,0,50,0,14591,0,3071,174,75,181,63,154,52,15
99,0,57,2,6012,3645,382,294,2,2,4,2,27,0,3852,2078,787,180,0,36,181,0,0,11
99,0,11,3,3010,14800,724,637,8,2,8,27,183,2.53271,10137,1182,3214,36,63,79,160,212,100,17
99,40,93,4,74,15200,601,474,5,1,2,18,146,0,3714,0,2952,63,36,152,143,160,212,14
99,0,81,128,49,3890,191,197,0,10,5,3,36,36.9901,3757,0,5,63,73,25,2,0,0,9
99,0,39,129,1665,6440,326,373,3,4,3,1,65,0,5570,0,46,60,41,36,21,63,77,13
99,567,80,130,1426,4650,295,309,1,6,1,2,85,0,2652,0,0,0,0,0,0,0,0,11
99,0,25,131,87,7720,333,339,5,5,1,1,65,12.7636,8250,0,32,50,41,40,100,21,60,12
99,568,87,132,1477,3070,185,194,0,6,7,11,15,0,3591,0,0,0,0,180,40,46,0,9
100,569,79,0,1185,7990,303,294,9,12,7,2,37,42.9595,6643,0,34,180,36,218,22,21,23,14
100,570,52,1,2775,12020,463,581,7,10,15,7,202,57.8101,25445,927,565,36,100,121,37,29,46,21
100,571,93,2,458,14525,393,458,2,10,7,6,223,0,8012,0,1061,46,8,152,63,160,0,18
100,0,71,3,4064,9825,382,482,12,11,13,1,16,132.406,14428,364,0,92,127,116,46,181,63,19
100,572,28,4,701,11535,360,466,8,9,10,0,73,76.1479,10665,0,141,1,102,152,63,31,46,18
100,0,7,128,3189,18400,540,681,13,7,20,3,110,106.472,18369,0,3133,1,102,152,180,69,235,22
100,523,70,129,2121,18480,546,543,7,6,11,11,198,11.7689,13385,376,3445,50,208,1,81,33,116,20
100,573,91,130,1122,9015,342,430,6,9,14,1,28,0,5015,7097,557,41,92,254,180,53,46,18
100,574,39,131,3607,28805,745,815,21,3,22,6,220,0,28129,0,4138,119,48,108,110,0,133,25
100,575,5,132,1563,8245,311,279,4,14,18,0,17,2.535,7891,0,501,46,37,1,36,40,214,14
